PC,Instruction,Index,Stack,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,VA,VB,VC,VD,VE,VF,Delay,Sound
0x02bc,0x229c,0x02dc,0x02be,0x0040,0x003c,0x00fa,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0002,0x0008,0x0002,0000,0000,0000,0000,0000
0x029c,0xa300,0x0300,0x02be,0x0040,0x003c,0x00fa,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0002,0x0008,0x0002,0000,0000,0000,0000,0000
0x029e,0xfa1e,0x0302,0x02be,0x0040,0x003c,0x00fa,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0002,0x0008,0x0002,0000,0000,0000,0000,0000
0x02a0,0xf065,0x0302,0x02be,0x00f9,0x003c,0x00fa,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0002,0x0008,0x0002,0000,0000,0000,0000,0000
0x02a2,0x8200,0x0302,0x02be,0x00f9,0x003c,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0002,0x0008,0x0002,0000,0000,0000,0000,0000
0x02a4,0x7a01,0x0302,0x02be,0x00f9,0x003c,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0003,0x0008,0x0002,0000,0000,0000,0000,0000
0x02a6,0x641f,0x0302,0x02be,0x00f9,0x003c,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0003,0x0008,0x0002,0000,0000,0000,0000,0000
0x02a8,0x8a42,0x0302,0x02be,0x00f9,0x003c,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0003,0x0008,0x0002,0000,0000,0000,0000,0000
0x02aa,0x6020,0x0302,0x02be,0x0020,0x003c,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0003,0x0008,0x0002,0000,0000,0000,0000,0000
0x02ac,0x611e,0x0302,0x02be,0x0020,0x001e,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0003,0x0008,0x0002,0000,0000,0000,0000,0000
0x02ae,0x800e,0x0302,0x02be,0x0040,0x001e,0x00f9,0x00f9,0x001f,0000,0x0005,0x0002,0000,0000,0x0003,0x0008,0x0002,0000,0000,0000,0000,0000
